ts,actions
2033.3333333333333,"{'eyeLookUpRight': 0.22778183221817017, 'eyeSquintLeft': 0.4225715398788452, 'eyeSquintRight': 0.5308035016059875, 'mouthPressLeft': 0.2763499915599823, 'mouthSmileLeft': 0.5999032855033875, 'mouthSmileRight': 0.5839893817901611}"
4633.333333333333,"{'browOuterUpRight': 0.23540470004081726, 'eyeLookUpLeft': 0.2016763985157013, 'eyeLookUpRight': 0.23974840342998505, 'eyeSquintLeft': 0.42584383487701416, 'eyeSquintRight': 0.43363991379737854, 'mouthPressLeft': 0.49063292145729065}"
7000.0,"{'eyeSquintLeft': 0.2857290804386139, 'eyeSquintRight': 0.3490375280380249, 'mouthPressLeft': 0.5076165795326233}"
9266.666666666666,"{'eyeSquintLeft': 0.6213713884353638, 'eyeSquintRight': 0.4070298969745636, 'mouthPressLeft': 0.5553385019302368, 'mouthPressRight': 0.22896328568458557, 'mouthShrugLower': 0.5347107648849487, 'mouthSmileLeft': 0.46543148159980774, 'mouthSmileRight': 0.3798578977584839}"
11433.333333333334,"{'eyeLookOutLeft': 0.2287823110818863, 'eyeSquintLeft': 0.46005767583847046, 'eyeSquintRight': 0.4074157476425171, 'mouthPressLeft': 0.6660361886024475, 'mouthPressRight': 0.33952629566192627, 'mouthRollLower': 0.34170085191726685, 'mouthShrugLower': 0.5347249507904053, 'mouthSmileLeft': 0.49552056193351746, 'mouthSmileRight': 0.42398834228515625}"
12933.333333333334,"{'eyeLookUpLeft': 0.21536019444465637, 'eyeLookUpRight': 0.23460078239440918, 'eyeSquintLeft': 0.3959547281265259, 'eyeSquintRight': 0.34636151790618896, 'mouthPressLeft': 0.44858959317207336}"
14633.333333333332,"{'eyeLookOutRight': 0.23236940801143646, 'eyeLookUpRight': 0.20926615595817566, 'eyeSquintLeft': 0.2446306347846985, 'eyeSquintRight': 0.29474252462387085, 'mouthPressLeft': 0.6737881302833557}"
16466.666666666664,"{'eyeLookInLeft': 0.3917561173439026, 'eyeLookOutRight': 0.42612358927726746, 'eyeLookUpLeft': 0.2881711423397064, 'eyeLookUpRight': 0.311475932598114, 'eyeSquintLeft': 0.4228159189224243, 'eyeSquintRight': 0.26367127895355225, 'mouthPressLeft': 0.6683999300003052}"
18133.333333333332,"{'browOuterUpLeft': 0.45809176564216614, 'browOuterUpRight': 0.5804346799850464, 'eyeLookUpLeft': 0.49353185296058655, 'eyeLookUpRight': 0.5131471157073975, 'eyeSquintLeft': 0.5499489307403564, 'eyeSquintRight': 0.28670525550842285, 'mouthFrownLeft': 0.20935197174549103}"
21233.333333333336,"{'eyeLookUpLeft': 0.5574321746826172, 'eyeLookUpRight': 0.5294723510742188, 'eyeSquintLeft': 0.740954577922821, 'eyeSquintRight': 0.3591934144496918, 'mouthLowerDownLeft': 0.2132043093442917, 'mouthLowerDownRight': 0.39715492725372314}"
